"skill_id","skill_name","skill_type","skill_count","avg_salary"
0,"sql","programming","92628","96435"
181,"excel","analyst_tools","67031","86419"
1,"python","programming","57326","101512"
182,"tableau","analyst_tools","46554","97978"
183,"power bi","analyst_tools","39468","92324"
5,"r","programming","30075","98708"
186,"sas","analyst_tools","14034","93707"
7,"sas","programming","14034","93707"
196,"powerpoint","analyst_tools","13848","88316"
188,"word","analyst_tools","13591","82941"
189,"sap","analyst_tools","11297","92446"
74,"azure","cloud","10942","105400"
79,"oracle","cloud","10410","100964"
76,"aws","cloud","9063","106440"
61,"sql server","databases","8304","96191"
8,"go","programming","7928","97267"
215,"flow","other","7289","98020"
22,"vba","programming","6870","93845"
185,"looker","analyst_tools","6271","103855"
80,"snowflake","cloud","6194","111578"
187,"qlik","analyst_tools","5693","100933"
4,"java","programming","5251","100214"
92,"spark","libraries","5041","113002"
233,"jira","async","4753","107931"
199,"spss","analyst_tools","4711","85293"
